|         line         | RAM[0] | RAM[1] | RAM[2] | RAM[3] | RAM[4] |argument|argument|local[0]|local[1]|local[2]|local[3]|local[4]|
| PONG.Math_multiply.0 |    283 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| PONG.Math_multiply.1 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| PONG.Math_multiply.2 |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| PONG.Math_multiply.3 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| PONG.Math_multiply.4 |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| PONG.Math_multiply.5 |    286 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| PONG.Math_multiply.6 |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| PONG.Math_multiply.7 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| PONG.Math_multiply.8 |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| PONG.Math_multiply.9 |    286 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.10 |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.11 |    286 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.12 |    287 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.13 |    286 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.14 |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.15 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.16 |    283 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.17 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.18 |    289 |    289 |    283 |      0 |   2247 |     63 |   2078 |      0 |   3482 |    201 |    290 |    284 |
| ONG.Math_multiply.10 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.19 |    283 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.20 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.21 |    289 |    289 |    283 |      0 |   2247 |    256 |   2081 |     63 |      0 |    201 |    290 |    284 |
| ONG.Math_multiply.10 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.22 |    283 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.23 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.24 |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.25 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.26 |    283 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.28 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| ONG.Math_multiply.29 |    283 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.30 |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.31 |    283 |    278 |    271 |      0 |   2247 |    256 |    256 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.32 |    284 |    278 |    271 |      0 |   2247 |    256 |    256 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.33 |    283 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.34 |    284 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.35 |    285 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.36 |    284 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.37 |    285 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.38 |    286 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.39 |    285 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.40 |    284 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.41 |    284 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.42 |    283 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.43 |    284 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.44 |    285 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.45 |    284 |    278 |    271 |      0 |   2247 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
