|         line         | RAM[0] | RAM[1] | RAM[2] | RAM[3] | RAM[4] |argument|argument|local[0]|local[1]|local[2]|local[3]|local[4]|
| Math.multiply.0      |    283 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.1      |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.2      |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.3      |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.4      |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.5      |    286 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.6      |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.7      |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.8      |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.9      |    286 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.10     |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.11     |    286 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.12     |    287 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.13     |    286 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.14     |    285 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.15     |    284 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
| Math.multiply.16     |    283 |    278 |    271 |      0 |   2247 |     63 |    256 |      0 |      0 |      0 |      0 |      0 |
